Study	Link:	Publication Year:	Species:	Temperature:	Brain Location (In situ vs ex situ vs other):	Initial preservation:	General microscopy method:	Immunostaining primarily:	Visualization method specifics:	Brain Region:	Cell Type:	Time Point:	Structural Feature:	Additional outcome specifier, if any:	Decomposition outcome:	Pilot Round?	Pilot Grade:	Decomposition Grade - Grader 1:	Decomposition Grade - Grader 2:	Random choice for multiple grades from grader 2:	Decomposition Grade - Grader 3:	Consensus grade:
Babb 1988	https://pubmed.ncbi.nlm.nih.gov/3209750/	1988	Rat	Room temperature	In situ	Immersion fixation	Electron microscopy	Yes, immunostaining primarily	Immunostaining for GAD along with osmium tetroxide staining	Hippocampus	Neuron	30 minutes	Synapse		"Note that even with a 30-minute delay after death and immersion fixation, there is preservation of GAD-IR mitochondria, vesicles, and cytoplasmic organelles comparable to those with intravital perfusion fixation". Also Figure 5. 	No	NA	0	0	0	NA	0
Badonič 1992	https://europepmc.org/article/med/1303105	1992	Dog	Not recorded	In situ	Not recorded	Light microscopy	No	Stained with 1% methylene blue	Frontal cortex	Neuron	3 hours	General cell membrane		"In the material of experimental animals some changes could be observed after 3 hours in the half-thin slices. These changes are typical for common autolysis. In the cells the nuclei and nucleoli were present, too. However, the nuclei were obviously hyperchromatic and homogenous. In the neuroplasm there were small isolated vacuoles, yet granules of the Nissl substance could not be identified (Fig. 2); certain “triangulation” of some neurons could be observed as well. Light arteficial spaces were visible around the neurons."	No	NA	2	1	1	NA	1
Blair 2016	https://pubmed.ncbi.nlm.nih.gov/26982086/	2016	Human	After autopsy, 4°C	Ex situ	Immersion fixation	Light microscopy	No	Nissl stain (cresyl violet) 	Hippocampus	Neuron	46.5 hours	General cell membrane	Median longest PMI across the case series.	"Morphologically, minimal tissue or cellular changes are noted with increased PMI by Nissl stain ... The tissue samples fixed after the initial PMI and then up to an additional 49 h at 4°C exhibited no striking changes in neuronal morphology using routine Nissl stain"	No	NA	0	0	0	NA	0
Blair 2016	https://pubmed.ncbi.nlm.nih.gov/26982086/	2016	Human	After autopsy, 4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for NeuN	Hippocampus	Neuron	46.5 hours	General cell membrane	Median longest PMI across the case series.	"Immunostaining Case E shows that both pyramidal neurons and dentate gyrus neurons show the expected neuronal localization of NeuN at all PMI times... the variation of NeuN immunostaining and immunblotting between the two cases shown in Fig 1 likely represent individual patient variability and disease state, and not PMI, as has been suggested previously"	No	NA	0	0	0	NA	0
Blair 2016	https://pubmed.ncbi.nlm.nih.gov/26982086/	2016	Human	After autopsy, 4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for α-tubulin	Hippocampus	Neuron	46.5 hours	Axon	Median longest PMI across the case series.	"Axonal processes of neurons remained immunoreactive for α-tubulin after 48 h in 3/6 cases (Fig 2A), and neurofilament proteins were still readily detectable with extended PMI, though some loss of intensity is apparent ... Neuronal cell bodies and processes are immunostained using antibodies to alpha tubulin and neurofilament proteins even at longer PMI times"	No	NA	1	0-1	1	NA	1
Blair 2016	https://pubmed.ncbi.nlm.nih.gov/26982086/	2016	Human	After autopsy, 4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for neurofilament	Hippocampus	Neuron	46.5 hours	Axon	Median longest PMI across the case series.	"Axonal processes of neurons remained immunoreactive for α-tubulin after 48 h in 3/6 cases (Fig 2A), and neurofilament proteins were still readily detectable with extended PMI, though some loss of intensity is apparent ... Neuronal cell bodies and processes are immunostained using antibodies to alpha tubulin and neurofilament proteins even at longer PMI times"	No	NA	1	1	1	NA	1
Blair 2016	https://pubmed.ncbi.nlm.nih.gov/26982086/	2016	Human	After autopsy, 4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for GFAP	Hippocampus	Astrocyte	46.5 hours	General cell membrane	Median longest PMI across the case series.	"GFAP is one of the common markers for astrocytosis. Immunocytochemistry with a GFAP antibody did not show significant changes in astrocyte staining with increased PMI... For instance, GFAP, a marker protein for astrocytes, is unaffected by increased PMI."	No	NA	0	0	0	NA	0
Blair 2016	https://pubmed.ncbi.nlm.nih.gov/26982086/	2016	Human	After autopsy, 4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for collagen IV	Hippocampus	Endothelial cell 	46.5 hours	Basement membrane	Median longest PMI across the case series.	"In addition, an antibody to collagen IV showed equivalent staining intensity of vessels even at the longest PMI... Overall tissue morphology is maintained such that neuronal structures and the vasculature are not disrupted."	No	NA	0	0	0	NA	0
Boekhoorn 2006	https://pubmed.ncbi.nlm.nih.gov/16814555/	2006	Rat	Room temperature	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for doublecortin	Hippocampus	Neuron	1 hour	Dendrite		"In tissue obtained from perfused brains, DCX IR was strongly expressed throughout the SGZ, where it extensively labeled neuronal cell bodies as well as their dendrites (Fig. 8B), traversing the GCL and reaching into the molecular layer (Fig. 8A). After 1 h of PMD, a clear reduction was already apparent in DCX IR. The reduction was particularly apparent in the dendritic component (Figs. 8C, D and F), showing further progression with increased PMD. Furthermore, weaker soma staining was detectable (Figs. 8D and G) at 8 and 12 h of PMD"	No	NA	2	1	1	NA	1
Boekhoorn 2006	https://pubmed.ncbi.nlm.nih.gov/16814555/	2006	Rat	Room temperature	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for doublecortin	Hippocampus	Neuron	8 hours	Dendrite		"Representative illustration of a DCX-positive neuron in the rat dentate gyrus (immersion fixed) after a 1 h postmortem delay. A prominent reduction in immunoreactivity is apparent, not only in the soma, but even more so in the dendrites. (D) DCX immunoreactivity of a rat brain with a PMD of 8 h, showing only some DCX staining of the soma (arrows) remaining in the GCL, yet very little, if any, dendritic staining remains present. *"	No	NA	3	2	2	NA	2
Boekhoorn 2006	https://pubmed.ncbi.nlm.nih.gov/16814555/	2006	Rat	Room temperature	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for doublecortin	Hippocampus	Neuron	1 hour	Soma		"In tissue obtained from perfused brains, DCX IR was strongly expressed throughout the SGZ, where it extensively labeled neuronal cell bodies as well as their dendrites (Fig. 8B), traversing the GCL and reaching into the molecular layer (Fig. 8A). After 1 h of PMD, a clear reduction was already apparent in DCX IR. The reduction was particularly apparent in the dendritic component (Figs. 8C, D and F), showing further progression with increased PMD. Furthermore, weaker soma staining was detectable (Figs. 8D and G) at 8 and 12 h of PMD"	No	NA	1	1	1	NA	1
Boekhoorn 2006	https://pubmed.ncbi.nlm.nih.gov/16814555/	2006	Rat	Room temperature	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for doublecortin	Hippocampus	Neuron	12 hours	Soma		"At 12 h PMD, DCX soma staining is very weak in rat brain, while an additional, granular staining pattern is apparent in the SGZ and hilus (arrows). "	No	NA	2	2	2	NA	2
Boekhoorn 2006	https://pubmed.ncbi.nlm.nih.gov/16814555/	2006	Rat	Room temperature	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for doublecortin	Hippocampus	Neuron	44 hours	Soma		"At 12 h of PMD, most DCX-positive cells in the SGZ had further shrunken in size, whereas a smaller amount of cells was detectable at a PMD of 44 h."	No	NA	3	2-3	2	NA	2
Bywater 1962	https://pubmed.ncbi.nlm.nih.gov/14017520/	1962	Rhesus monkey	Room temperature	In situ	Perfusion fixation	Light microscopy	No	Silver staining	Multiple or no clear focus	Multiple or no clear focus	20 minutes	General cell membrane		"On the other hand it must be emphasized that perfusion should always be attempted, and that perfusion 20 minutes after death shows only minute changes and is hardly distinguishable from material perfused immediately (after death). It proves that the changes which must occur within the first 20 minutes are at submicroscopical level for they can be revealed with the electron microscope but are not yet discernible with our ordinary methods of microscopy."	No	NA	0	0	0	NA	0
Bywater 1962	https://pubmed.ncbi.nlm.nih.gov/14017520/	1962	Rhesus monkey	Room temperature	In situ	Perfusion fixation	Light microscopy	No	Silver staining	Multiple or no clear focus	Multiple or no clear focus	1 hour	General cell membrane		"For practical reasons it must be emphasized that a post mortem interval of 1 hour followed by perfusion shows such artefacts which are comparable to those found in material immersed immediately after death." ... "The difference between perfused and immersed material is very obvious due to the considerable shrinkage of neurons which in turn leads to a heavy impregnation of the cell and the appearance of a pericellular space. This in turn causes the retraction of the cell body from pericellular structures which makes synaptic studies difficult to execute. The differences of neuronal structure when perfused or immersed can be easily judged when comparing Fig. 5 with Fig 3. Fig.5 exhibits too-heavily impregnated motor neurons, wide pericellular spaces and the detachment of pericellular structures, and the concave outline of the cell is clearly shown." 	No	NA	1	1	1	NA	1
Bywater 1962	https://pubmed.ncbi.nlm.nih.gov/14017520/	1962	Rhesus monkey	Room temperature	In situ	Immersion fixation	Light microscopy	No	Silver staining	Multiple or no clear focus	Multiple or no clear focus	4.5 hours	General cell membrane		"Figs 6 & 7 illustrate the progress in autolytic changes caused by a post mortem interval of 4.5 hours. At this stage gross distortion of neurons, large pericellular spaces and the occurence of vacuoles inside the cell are striking." ... "Showing shrinkage of Betz cells (left), and of a ventral horn cell (right). At this stage the dendrites begin to curl up in a corkscrew manner". Also Figure 7 	No	NA	2	3	3	NA	3
Cammermeyer 1978	https://pubmed.ncbi.nlm.nih.gov/97249/	1978	Multiple species, including rat, rabbit, cat, dog, and monkey	Room temperature	In situ	Perfusion fixation	Light microscopy	No	Multiple morphological stains	Multiple or no clear focus	Neuron	5 minutes	General cell membrane		"The flow of an adequate amount of saline to flush the blood vessels, as judged by the clear appearance of the fluid escaping from the right auricle, takes approximately one minute, and the flow time for Bouin's solution is a little longer. Under these circumstances the entire procedure is terminated in 3-5 rain. If the time of action of the fixative is delayed, numerous solitary dark neurons may develop, as observed when the flow of saline is delayed 5 or 10 min intentionally, or it is prolonged because of obstruction of blood vessels with air emboli, lowering of the perfusion bottles, or introduction of excessive amounts of saline."	No	NA	2	1	1	NA	1
Choe 1995	https://pubmed.ncbi.nlm.nih.gov/7558730/	1995	Dog	Not recorded	In situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Ventral anterior nucleus of the thalamus	Neuron	1 hour	General cell membrane		"Electron microscopic findings 1 hour after death included (Figure 6) nuclear pyknosis and perikaryal condensation, undulatory nuclear membrane, several cytoplasmic vacuoles, swollen mitochondria, and dilated endoplasmic reticulum." 	No	NA	1	1	1	NA	1
Choe 1995	https://pubmed.ncbi.nlm.nih.gov/7558730/	1995	Dog	Not recorded	In situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Ventral anterior nucleus of the thalamus	Neuron	24 hours	General cell membrane		"Cytoplasm was filled with very large vacuoles. Cellular organelles were destroyed completely." Also Figure 8 	No	NA	2	2	2	NA	2
Choe 1995	https://pubmed.ncbi.nlm.nih.gov/7558730/	1995	Dog	Not recorded	In situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Ventral anterior nucleus of the thalamus	Neuron	1 hour	Myelin		"The myelin sheaths appeared to be irregular, with concentric unravelling" 	No	NA	1	1	1	NA	1
Choe 1995	https://pubmed.ncbi.nlm.nih.gov/7558730/	1995	Dog	Not recorded	In situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Ventral anterior nucleus of the thalamus	Neuron	24 hours	Myelin		"Myelin sheaths show wide areas of network-like formations with marked degeneration." Also Figure 8 	No	NA	2	3	3	NA	3
D'Andrea 2017	https://pubmed.ncbi.nlm.nih.gov/28766965/	2017	Rat	4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for MAP2	Cerebrum	Neuron	2 hours	General cell membrane		"Arrows shows MAP2-positive neurons without apparent MAP2-positive dendritic processes." ... "By contrast to the radial orientation of the MAP2-positive neuronal dendrites in the routinely fixed cortical rat brains (Fig. 1), the patterns of the MAP2 immunolabeling in the under-fixed and delayed-fixed cortical rat brains lacked normal cortical architecture (Figs. 2 and 3); the neurons appeared degenerative and extended MAP2-positive processes were absent. Some of the neurons had prominent MAP2 immunolabeling in the perikaryon as if the MAP2 that was in the extended dendritic processes had relocated to the cell body (arrows). The neurons also appeared detached from each other to form isolated cells surrounded by empty spaces. We also assessed the average intensity of MAP2 immunolabeling using a semiquantitative scoring system (Fig. 4). The average intensity of MAP2 immunolabeling in the fixed tissues was moderate to strong (2.5−3.0) and relatively consistent. By contrast, the average intensity of MAP2 immunolabeling in the unfixed and delayed-fixed tissues was negative to weak." Also Figure 3	No	NA	3	2	2	NA	2
D'Andrea 2017	https://pubmed.ncbi.nlm.nih.gov/28766965/	2017	Rat	4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for MBP	Cerebrum	Oligodendrocyte	48 hours	General cell membrane		"By contrast to our observations for MAP2, the distribution and intensity of the MBP appeared to be unaffected by the various fixation conditions." ... "Moderate to strong MBP immunolabeling was detected consistently in all immediately fixed, unfixed, and delayed-fixed tissues. We observed similar results for GFAP immunolabeling in the same CNS tissues (data not shown)." Also Figure 7	No	NA	0	0	0	NA	0
D'Andrea 2017	https://pubmed.ncbi.nlm.nih.gov/28766965/	2017	Rat	4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for GFAP	Cerebrum	Astrocyte	48 hours	General cell membrane		"By contrast to our observations for MAP2, the distribution and intensity of the MBP appeared to be unaffected by the various fixation conditions." ... "Moderate to strong MBP immunolabeling was detected consistently in all immediately fixed, unfixed, and delayed-fixed tissues. We observed similar results for GFAP immunolabeling in the same CNS tissues (data not shown)."	No	NA	0	0	0	NA	0
Dachet 2021	https://pubmed.ncbi.nlm.nih.gov/33758256/	2021	Human	24°C	Ex situ	Immersion fixation	Light microscopy	No	Morphologically stained with hematoxylin and eosin	Temporal lobe	Neuron	2 hours	General cell membrane		"At 2 h, we observed a decrease of nuclear staining for NeuN and neuronal swelling." Also Figure 4	Yes	1	1	NA	NA	NA	1
Dachet 2021	https://pubmed.ncbi.nlm.nih.gov/33758256/	2021	Human	24°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for NeuN	Temporal lobe	Neuron	24 hours	General cell membrane		"Between 4–8 h a majority of the neurons were swollen with a marked reduction in nuclear NeuN staining and by 12 h the neurons demonstrated loss of nuclear detail on H&E and NeuN staining was markedly reduced. At 24 h staining by NeuN showed that a majority of neurons were degraded." Also Figure 4	Yes	3	3	NA	NA	NA	3
Dachet 2021	https://pubmed.ncbi.nlm.nih.gov/33758256/	2021	Human	24°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for CD68	Temporal lobe	Microglia	12 hours	Microglia process		"[B]etween 2–4 h microglia became activated with increased process outgrowth peaking at 12 h." Also Figure 4	Yes	2	2	NA	NA	NA	2
Dachet 2021	https://pubmed.ncbi.nlm.nih.gov/33758256/	2021	Human	24°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for GFAP	Temporal lobe	Astrocyte	12 hours	Astrocyte process		"In parallel, astrocytes stained with GFAP remained small and non-reactive until 4 h with non-overlapping processes after which GFAP showed a highly heterogeneous staining pattern suggesting that some astrocytes were undergoing an outgrowth of processes that continued through 12 h". Also Figure 4	Yes	2	2	NA	NA	NA	2
Dachet 2021	https://pubmed.ncbi.nlm.nih.gov/33758256/	2021	Human	24°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for GFAP	Temporal lobe	Astrocyte	24 hours	General cell membrane		"At 24 H, small GFAP-positive nodules measuring roughly 5 µm in diameter were seen and astrocyte cell bodies were no longer identifiable compatible with protein degradation observed in previous studies". Also Figure 4	Yes	3	3	NA	NA	NA	3
De Groot 1995	https://pubmed.ncbi.nlm.nih.gov/7797613/	1995	Rat	6 hours at room temperature, then stored at 4°C for the remainder of the time	In situ	Immersion fixation	Light microscopy	No	Hematoxylin and eosin stain	Cerebral and cerebellar brain regions	Multiple or no clear focus	6 hours	Blood vessels		"Retraction artifacts appeared around blood vessels after a PMD of 6 h, around the perikarya of neurons in the cerebral cortex and around the cells of Purkinje in the cerebellar cortex at PMDs 12 h and 18 h"	No	NA	1	1	1	NA	1
De Groot 1995	https://pubmed.ncbi.nlm.nih.gov/7797613/	1995	Rat	6 hours at room temperature, then stored at 4°C for the remainder of the time	In situ	Immersion fixation	Light microscopy	No	Hematoxylin and eosin stain	Cerebral cortex	Neuron	12 hours	General cell membrane		"Retraction artifacts appeared around blood vessels after a PMD of 6 h, around the perikarya of neurons in the cerebral cortex and around the cells of Purkinje in the cerebellar cortex at PMDs 12 h and 18 h"	No	NA	1	1	1	NA	1
De Groot 1995	https://pubmed.ncbi.nlm.nih.gov/7797613/	1995	Rat	6 hours at room temperature, then stored at 4°C for the remainder of the time	In situ	Immersion fixation	Light microscopy	No	Hematoxylin and eosin stain	Cerebellar cortex	Purkinje cell	18 hours	General cell membrane		"Retraction artifacts appeared around blood vessels after a PMD of 6 h, around the perikarya of neurons in the cerebral cortex and around the cells of Purkinje in the cerebellar cortex at PMDs 12 h and 18 h"	No	NA	1	1	1	NA	1
De Groot 1995	https://pubmed.ncbi.nlm.nih.gov/7797613/	1995	Rat	6 hours at room temperature, then stored at 4°C for the remainder of the time	In situ	Freezing	Light microscopy	Yes, immunostaining primarily	Immunostaining for GFAP 	Cerebral and cerebellar brain regions	Astrocyte	12 hours	Bergmann fibers		"Using GFAP as a marker to identify astrocytes, it appeared that, after a PMD of 12 h, the tissue structure of the grey matter of the cerebellum and cerebrum was noticeably damaged. In the cerebellar molecular layer the thin, parallel, straight, radially arranged GFAP-positive Bergmann fibers were frequently interrupted. Not all GFAP-positive fibers projected to the leptomeninges anymore." ... "Radial glia in the grey matter of the cerebellum were frequently interrupted." ... "Nevertheless, with increasing PMD intervals the quality of the cell and tissue structure was still sufficient for effective immunohistochemical characterization."	No	NA	3	2	2	NA	2
De Groot 1995	https://pubmed.ncbi.nlm.nih.gov/7797613/	1995	Rat	6 hours at room temperature, then stored at 4°C for the remainder of the time	In situ	Freezing	Light microscopy	Yes, immunostaining primarily	Immunostaining for GFAP 	Cerebral and cerebellar brain regions	Astrocyte	18 hours	Stellate fibrous astrocytes		"On the other hand, the fibrous astrocytes that are located in the white matter and the cerebellar granular layer kept their stellate, process-bearing morphology at all investigated PMDs" ... "Intensely stained GFAP-positive fibrous astrocytes after a PMD of 18 h that kept their stellate-process-bearing morphology" Also Figure 2	No	NA	0	0	0	NA	0
De Groot 1995	https://pubmed.ncbi.nlm.nih.gov/7797613/	1995	Rat	6 hours at room temperature, then stored at 4°C for the remainder of the time	In situ	Freezing	Light microscopy	Yes, immunostaining primarily	Immunostaining for ED1	Cerebral and cerebellar brain regions	Multiple or no clear focus	12 hours	Blood vessels		"Furthermore, basal laminae of several blood vessels and leptomeninges were separated from the adjacent brain parenchyma and retraction artifacts arise with a PMD longer than 6 h ... Immunohistochemical staining for ED1 of a frozen section from the cerebellum of a rat with acute EAE after a PMD of 12 h. Intensely stained EDl-positive brain macrophages (thick arrows) in a perivascular infiltrate of which the basal lamina was separated from the adjacent white matter (WM)"	No	NA	1	1	1	NA	1
De Groot 1995	https://pubmed.ncbi.nlm.nih.gov/7797613/	1995	Rat	6 hours at room temperature, then stored at 4°C for the remainder of the time	In situ	Freezing	Light microscopy	Yes, immunostaining primarily	Immunostaining for ED1	Cerebral and cerebellar brain regions	Inflammatory cell	18 hours	Inflammatory cells		"The morphology of the inflammatory cells was not markedly changed with increasing PMD intervals."	No	NA	0	0	0	NA	0
de Ruiter 1983	https://pubmed.ncbi.nlm.nih.gov/6189557/	1983	Guinea pig	4°C	In situ	Immersion fixation	Light microscopy	No	Morphological stain, rapid Golgi silver impregnation	Neocortex	Medium to large layer V pyramidal neurons	1.5 hours	Dendrite		"We found a reduction in the density of spines from 1.5 h postmortem. The total length of the basal dendritic tree appeared to be reduced from 4 h postmortem. Our results were in full accordance with the description of Williams et al. in morphological respects (Fig. 3), making it possible to relate their results to our figures. Our supposition that the spine is the structure most susceptible to fixation delay was confirmed. The length of the arborization is also susceptible to fixation delay. The dendritic tree shows not only morphological change, but also partial impregnation. When changes in shape are found, counting of spines or measuring the length of the dendritic tree must be considered unreliable."	No	NA	3	1	1	3	3
