Study	Link	Species	General microscopy method	Visualization method specifics	PMI range	Longest PMI reported	Sample size	Brain region	Disease studied, if any recorded	Structural Feature	Outcome	Relevant text	Any significant/substantial correlation of a feature with PMI reported? 
Blair 2014 	https://pubmed.ncbi.nlm.nih.gov/24597504/	Human	Light microscopy	Immunostaining for amyloid beta and morphologically staining with H&E	3 to 40 hours (mean PMIs ranging from 11-16 hours in different age groups)	40 hours	92	Hippocampus	Multiple conditions	General neuronal morphology	No correlation of PMI with intraneuronal amyloid beta staining. 	"This prompted further examination of the cases to determine whether iAbeta presence was correlated with postmortem interval (PMI), gender, or presence of AD. Variable iAbeta immunoreactivity was noted in both very short and very long PMI subsets (Fig. 3). Two biopsy samples were strongly positive for iAbeta immunoreactivity yet some cases with a PMI of 24 h also had strong iAbeta immunoreactivity. Analysis of PMI for all cases examined showed no correlation between PMI and iAbeta immunoreactivity intensity (p>0.1). Gender was also found to not be a factor in i iAbeta immunoreactivity (p>0.1). Evaluation of hematoxylin and eosin stained sections, revealed that all samples were well preserved with ideal cellular morphology and showed no evidence of tissue disruption or infection." Also Figure 3.	No
Booze 1993	https://pubmed.ncbi.nlm.nih.gov/7902424/	Human	Light microscopy	Immunostaining for tyrosine hydrolase	1 to 6.5 hours	6.5 hours	10	Multiple regions	Multiple conditions	Tyrosine hydrolase immunoreactive axons	Staining for fine varicose axons was lost with increasing PMI.  	"A pronounced and significant decrease in axon type 2 occurred as a function of increasing postmortem interval." ... "Type 2 axons were characterized as being very fine and highly varicose".	Yes
Boros 2017	https://pubmed.ncbi.nlm.nih.gov/28921611	Human	Light microscopy	Golgi-Cox and 3d reconstruction	3 to 78 hours	78 hours	41	Dorsolateral prefrontal cortex	Alzheimer's disease	Dendrite morphology	Dendritic spine density is not associated with PMI.	"Linear regression analysis indicated that spine density was independent of sex or postmortem interval and that spine density changes within disease states were not associated with age"	No
Brück 1996	https://pubmed.ncbi.nlm.nih.gov/8866779/	Human	Light microscopy	Morphological staining and in situ tailing protocol	4 hours to 3 days	72 hours	13	Multiple brain regions	Pontosubicular neuron necrosis	Presence of apoptotic markers	No PMI effect on evidence of cellular apoptosis. 	"The number of cells labelled in the IST reaction did not depend on the interval between death and autopsy nor on the duration of formalin fixation (Table 2). Even with brains fixed for 30 or 47 days (cases 8 and 6), positive results were obtained in the IST reaction which corresponded to the number of apoptotic cells evaluated morphologically"	No
Buell 1982	https://pubmed.ncbi.nlm.nih.gov/6180137/	Human	Light microscopy	Morphological staining with Golgi-Cox and rapid Golgi techniques	6 to 28 hours	28 hours	10	Multiple brain regions	Multiple conditions	General neuronal morphology and dendritic morphology	No variation of neuronal morphology, including dendritic morphology, with PMI when using Golgi-Cox staining. 	"Almost invariably, the Golgi-Cox method impregnated a large number of neurons which were fairly evenly distributed. Dendritic extent varied greatly within each section, from cells with rich, apparently normal dendritic trees to cells with clearly atrophic trees. Examples of each type, as well as of cells which appeared intermediate between the two extremes, were numerous. Tissues prepared by the rapid Golgi method gave a very different picture. Impregnation was often patchy with large areas devoid of impregnated cells. The cells which did impregnate were predominantly those with grossly atrophic trees or aberrant morphology. Our findings do not vary according to age, mental status, or postmortem time of sampling."	No
Chan-Palay 1986	https://pubmed.ncbi.nlm.nih.gov/2422984/	Human	Light microscopy, electron microscopy	Immunostaining for neuropeptide Y	Comparison of surgical biopsy cases (n = 19) to autopsy cases (n = 12) with a PMI of 8.5 to 36 hours	36 hours	31	Cerebral cortex	Multiple conditions	Neuropeptide Y immunostaining	Worse preservation in the autopsy tissue than the surgical biopsy tissue. Axons can usually be traced, but there are more varicosities they are more irregular in size and shape. Dendrites are shorter, thicker, and more contorted. Neuronal cell bodies are reported to be "generally clearly immunoreactive". Despite having this worse reported preservation, they also report that "NPY-immunoreactivity is well preserved in neural structures for considerable periods after death". 	"In the surgical biopsy specimens immunostained with anti-NPY serum, the neurons of the cerebral cortex are displayed in their entirety (Fig. 1~d). The perikarya are completely filled with reaction product, the dendrites are long and slender, and thin varicose axons can be traced from their initial segments for long distances, sometimes even up to 3 mm. The axonal plexuses in the neighboring neuropil have numerous fine varicose axons and the whole forms a network of intricate delicacy." ... "Even the best material obtained from postmortem con- trol brains successfully tested with NPY pales by compari- son with the surgical specimens. Although optimal post- mortem material can be good, and neuronal cell bodies are generally clearly immunoreactive, the dendrites appear somewhat foreshortened and thicker and unusually tor- tuous. The most pronounced difference is in the axonal plexuses. Axons from neurons can usually be followed. The plexuses in the neuropil are also abundant but not as deli- cate in appearance. Perhaps the most distinct difference is that the varicosities or boutons on axonal twigs are larger - 2-4 times the size of those in surgical specimens, are more irregular in size and shape, and often have intervari- cose segments that are difficult to distinguish. Basically, axons are thicker, there are shorter single segments, vari- cosities are thicker, the intervaricose segments are shorter and clusters of axons are coarser. The dendrites are shorter, thicker and more contorted."	Yes
Chandana 2009	https://pubmed.ncbi.nlm.nih.gov/19293447/	Human	Light microscopy	Morphological stain and immunohistochemical stains for GFAP and neurofilament 	4 to 18 hours	18 hours	9	Multiple brain regions	No history of neurologic disorder	General cellular morphology	No association of PMI with changes in cell morphology or cytoarchitecture, including with immunostaining for GFAP or neurofilament.	"No major abnormalities in cell morphology or tissue integrity were noted. Immunohistochemistry with GFAP and NF did not show any significant increase in signal in FC at high PMI." ... "Histological examination of the sections from four anatomical areas at different times of post-mortem delay (9 samples) revealed essentially similar features of cytoarchitecture and density of myelin. The immunolabelling character for GFAP and NF (Fig. 8) was essentially similar at 4 and 18 h PMI"	No
Craven 2005a	https://pubmed.ncbi.nlm.nih.gov/15771705/	Human	Light microscopy	Nissl staining, tyrosine hydroxylase immunostaining	Average of 44.4 ± 28.7 h in controls, 57.2 ± 38.2 h in donors with a diagnosis of schizophrenia	Not recorded	33	Locus coeruleus	Schizophrenia	General neuronal immunostaining	No correlation between PMI and cell size or cell number. 	"Indeed, neither time in formalin nor PMI had a detectable effect on our measures of cell size or cell number."	No
Craven 2005b	https://pubmed.ncbi.nlm.nih.gov/15885063/	Human	Light microscopy	Nissl staining, tryptophan-hydroxylase immunohistochemistry	Average of 46.0 ± 27.7 h in controls, 57.2 ± 38.2 h in donors with a diagnosis of schizophrenia	Not recorded	35	Dorsal raphe nucleus	Schizophrenia	General neuronal immunostaining	No correlation between PMI and cell size or 5-hydroxytryptamine immunoreactive cell profiles. 	"PMI and time in formalin had no detectable effects on our measures of cell size. But whereas PMI had no effect on the number of immunoreactive profiles counted, formalin-fixation time correlated negatively and significantly with profile number. ... In the case of anti-tyrosine-hydroxylase staining, there was no suggestion of a relationship between PMI or time in formalin and optical density"	No
Das 2019	https://pubmed.ncbi.nlm.nih.gov/31152449/	Human	Light microscopy	DiI staining	10 to 28 hours	28 hours	13	Hippocampus	Sudden death 	Neuronal morphology	No correlation between PMI and degradation of neuronal morphology, such as dendritic spines and axon boutons. 	"Figure 2 shows a representative set of neurons and dendritic segments from several brains. Note that despite being from tissue fixed 11–18 hours postmortem, we do not observe blebbing, neurite fragmentation, or other obvious hallmarks of cell death, hypoxia, or ischemia (Figure 2). Though we cannot exclude that any postmortem interval leads to changes in neuron morphology, the neuron morphology in our samples appears well preserved and the secondary dendrites are a consistent caliber with even DiI labeling and diffusion." ... "In contrast, our DiI-based methodological pipeline generates high quality dendritic spine labeling in human tissues with a longer postmortem delay; thus far we tested up to 28 hours postmortem. When labeled, the neurons do not show obvious morphological signs of hypoxia, ischemia, or damage cause neuron such as blebbing, fragmentation, or poor diffusion of DiI (Fig 1e), suggesting good membrane integrity and relatively healthy tissue. Here, we report a mean CA1 apical spine density of 2.21 spines/μm of dendrite with a range from 1.36 to 3.04 spines/μm in adult human brain. These spine densities in neurons labeled from tissue fixed 10–28 hours postmortem is strikingly consistent with previously reported spine densities of control human CA1 neurons in tissue fixed 2–3 hours postmortem (Merino-Serrais et al., 2013) and to the average CA1 spine density found in non-human primates optimally preserved by perfusion."	No
Del Bigio 2000	https://pubmed.ncbi.nlm.nih.gov/11078221/	Human	Light microscopy	Morphological staining with H&E, without or without LFB	0.5 hours to 80 hours, including 3 surgical cases (0.5 to 2 h delay to fixation)  	80 hours	33	Multiple regions	Multiple conditions	Glia morphology	Increased cell swelling as the PMI increases.	"On the basis of our observations and other published data, we conclude that human glia, both astrocytes and oligodendrocytes, rapidly take up plasma proteins from the extracellular space of the injured brain" ... "[T]he pronounced swelling with eosinophilia is exaggerated by postmortem delay of fixation. Whether this represents an active process that continues in a devitalized environment, or a passive response by cells with abnormally high soluble protein content in the cytoplasm is unknown."	Yes
Garey 1998	https://pubmed.ncbi.nlm.nih.gov/9771764	Human	Light microscopy	Rapid Golgi staining	4 to 120 hours	120 hours	24	Layer III of temporal and frontal neocortex	Schizophrenia	Dendrite morphology	No correlation between PMI and dendritic spine density of pyramidal neurons. 	"There was a significant inverse correlation (p<0.01) between age and spine density in the non-schizophrenic controls but the correlation was not significant for postmortem interval and spine density, whether this was calculated by parametric (Pearson) or non-parametric (Spearman) tests (table 3 and fig 3)."	No
Geiger 2006	https://pubmed.ncbi.nlm.nih.gov/16410752/	Human	Light microscopy	TUNEL staining	Up to 48 hours	48 hours	24	Multiple brain regions	HIV encephalopathy 	Presence of apoptotic morphology	No correlation between PMI and the detection of apoptotic cell morphology. 		No
Gibson 1979	https://pubmed.ncbi.nlm.nih.gov/431764/	Human	Electron microscopy	Morphological stain, embedded in Araldite	0 to 69 hours	69 hours	45	Frontal pole or middle temporal gyrus	Dying in hospital from causes unlikely to lead to neurological complications	Synapse	Vacuolozation increased up to approximately 33 hours, then stays steady or decreases. Causes significant compression of tissue and artifactual distortion, but no obvious structural degeneration of membranes. 		No
Gittins 2004	https://pubmed.ncbi.nlm.nih.gov/15130705/	Human	Light microscopy	Cresyl violet or NeuN staining	8 to 75 hours	75 hours	16	Anterior cingulate cortex	Not recorded	Neuronal morphology	No correlation between PMI and neuronal morphology parameters. 	"Neuronal density, size and shape did not correlate, in either Nissl or NeuN stained material, with post-mortem interval (−0.39<R<0.27; all P>0.13) or age (−0.25<R<0.31; all P>0.19)." ... "Post-mortem interval, even over an extended range, showed no correlations with neuronal density, size or shape, suggesting that this factor is relatively unimportant."	No
Glausier 2019	https://pubmed.ncbi.nlm.nih.gov/30562121/	Human	Electron microscopy	Osmium and uranyl acetate staining	0 to 24 hours	24 hours	30	Dorsolateral prefrontal cortex	Psychiatric disorder	Synapse	Significant negative correlation with the number of PSD identified and PMI, but no significant correlation with PSD length and PMI; no significant correlation with total neuronal profiles identified and PMI. 	"PMI was significantly negatively correlated with number of PSD."	Yes
Gos 2014	https://pubmed.ncbi.nlm.nih.gov/24886967/	Human	Light microscopy	Immunostaining for quinolinic acid	10 to 72 hours	72 hours	25	Hippocampus	Schizophrenia 	Microglia density	Decreased number of quinolinic acid-immunoreactive microglial cells in the right CA1 subregion of the hippocampus with increased PMI. 	"Analysis of the potential confounding factors on the test results revealed no significant influence of age, duration of disease or psychotropic medication. Autolysis time was negatively correlated with the numerical density of QUIN-immunoreactive microglia in the right CA1 (controls: rPearson = 0.592, p = 0.043, p = 0.016; schizophrenia: rPearson = 0.661, p = 0.014). However, the above described diagnostic group effect for CA1 was confirmed by ANCOVA with the covariate “autolysis time” (schizophrenia versus controls; left p = 0.024, right p = 0.008)."	Yes
Huh 2001	https://pubmed.ncbi.nlm.nih.gov/11720774/	Human	Light microscopy	αII-bdp1 immunostaining	4 to 22.8 hours	22.8 hours	6	Multiple	Free of recognized neurological disease	General immunostaining 	No correlation between PMI and immunostaining distribution for αII-bdp1. 	"The overall level of immunopositivity or aII-bdp1 in the adult human brain was sparse, although focally positive cells were identified in every region. There was no correlation of the frequency of aII-bdp1 positive cells with the postmortem interval or with the rare cells noted above that appeared to display perimortem anoxic/ischemic change. A semi-quantitative analysis of neuronal immunopositivity for aII-bdp was conducted by visual survey, with score 1 representing immunopositive neurons up to 25% of the neuronal population and score 4 representing immunopositive neurons of more than 75% of the neuronal population. The highest score was noted in the cerebellum (mean score, 2.33; Table 1). There was no correlation between calpain-cleaved spectrin and the postmortem interval (P ¼ 0:6041, r ¼ 20:232, by Spearman rank correlation). ... In the cerebellum, moderate to strong and occasionally focal immunoreactivity in Purkinje cells was consistently found (Fig. 2A). As with the pyramidal neurons, only the soma and apical dendrites of cerebellar Purkinje cells were immunopositive (Fig. 2B)"	No
Hunziker 1977	https://pubmed.ncbi.nlm.nih.gov/603485/	Human	Light microscopy	Morphological staining via histochemistry for alkaline phosphatase	6.5 to 8.5 hours and 30 hours	30 hours	2	Multiple brain regions	Not recorded	Capillary morphometry	Capillary network is reported to be relatively resistant to postmortem changes, with no change in capillary diameter. However, there is a change in volume fraction, length, surface-to-volume ratio, and number of capillaries per test area in the longer PMI case. 	"In contrast to the experiment the human investigation revealed no in- fluence on the above-mentioned stereological parameters at two postmor- tem times. Although volume fraction, length, surface-to-volume ratio and number per test area of the parietal, temporal and occipital lobe (Tab. 3) yield tendencies similar to those recorded in the experiment, the capillary network of the human cerebral cortex appears to be relatively resistent to postmortem changes. The fact that capillary diameter remains unchanged postmortem provides encouragement to continue further stereological in- vestigations of aging human brain" ... "As in the animal experiment, the capillary diameter of the human cortex is not affected by different postmortem times. The individual diameter values of the parietal lobe (postcentral gyrus) do not differ much from each other (Fig. 3). Except for the frontal region, the stereological behaviour of the human parameters is similar to the significant differences between the measurements intravitam and 22 hours postmortem in the animal experiment (Tab. 2): volume fraction, length per unit cortex volume and number of capillary fragments per measuring field tend to decrease, whereas the surface-to- volume ratio is moderately increased (Tab. 3). The minimal capillary distances vary only weakly in dependence on the two different postmortem times."	Yes
Huttenlocher 1979	https://pubmed.ncbi.nlm.nih.gov/427544/	Human	Electron microscopy	Morphological staining with phosphotungic acid	0 to 35 hours	35 hours	21	Middle frontal gyrus	No known neurologic disease or severe prolonged hypoxia prior to death	Synapse	Synapse counts were stable for 35 h PMI. Compared to perfusion fixed experimental tissue, synaptic structures are less clearly demarcated, but this does not appear to be a correlated with PMI in their sample. (Reported difference from expected results based on perfusion fixation versus immersion fixation, but not based on the PMI within the sample.) 	"Samples from 21 brains, at ages ranging from newborn to 90 years, were studied. Synaptic profiles were clearly evident in postmortem cerebral cortical tissue, although their definition was often somewhat less sharp than in perfusion-fixed experimental tissue (Fig. 1A). The presynaptic projections and postsynaptic bands appeared somewhat more diffuse and less sharply demarcated, and the intracleft lines were not always demonstrable. However, these features did not seriously interfere with the ability to enumerate synaptic profiles. Synapse counts appeared to be stable for 35 h postmortem (Fig. 2), no relationship being demonstrable between calculated synaptic densities and the length of time that elapsed before the tissue was fixed in glutaraldehyde"	No
Ikemoto 2003	https://pubmed.ncbi.nlm.nih.gov/12935595/	Human	Light microscopy	Immunohistochemistry for aromatic l-amino acid decarboxylase (AADC)	2 to 30 hours	30 hours	18	Midbrain, striatum	Schizophrenia	Aromatic l-amino acid decarboxylase positive neurons	Decreased staining of aromatic l-amino acid decarboxylase (AADC), including decreased number of AADC neurons, with longer PMI. 	"Some brains in which the PMI was more than 15 h showed weak AADC stainability. The number of AADC-positive neurons in the striatum per section had a tendency to decrease in the case with longer PMI"	Yes
Ikuta 1963	https://pubmed.ncbi.nlm.nih.gov/14069839/	Human	Light microscopy	Morphological staining, for example with H&E	0 to 3 to more than 18 hours	18 hours	162	Cerebellum	Not recorded	Presence of necrosis of granule cell layer of the cerebellum	Increased incidence of necrosis of the granule cell layer with increasing PMI. 	"There is a steady increase in the incidence of the lesion as [the PMI] increases."	Yes
Jacobs 1993	https://pubmed.ncbi.nlm.nih.gov/8432909/	Human	Light microscopy	Silver staining	5.5 to 32 hours* (cases longer than 24 hours included if they were in good condition histologically)	32 hours	20	Superior temporal gyrus	"Neurologically normal"	Dendrite morphology	Dendritic spine architecture is well preserved in brains with longer autolysis times. Note that there is a quality selection bias in this study. 	"[A]nalysis revealed no relationship between autolysis time and TDL (r[4001 = 0.03; NS). Removing the effect of autolysis on the age-TDL correlation with a partial correlation coefficient (see below) reconfirmed that autolytic effects on TDL were minimal. The tissue examined did not exhibit the autolytic changes (e.g., irregular varicose enlargements, constriction of dendrites, incomplete impregnation, and loss of spines) described by Williams et al. ('87). Photomicrographs of Golgi preparations from three subjects (F40, M56.2, F79) with differing autolysis times (29, 10.5, and 8 hours, respectively) are presented in Figures 2 and 3" ... "Tissue was excluded if the autolysis time was unknown, or if there were any signs of cerebral atrophy, cerebral edema, chronic illness with central nervous system involvement, and so on."	No
Kay 2013	https://pubmed.ncbi.nlm.nih.gov/23787894/	Human	Electron microscopy	Staining with osmium tetroxide and uranyl acetate	Up to 100 hours	100 hours	Not recorded	Multiple brain regions	Multiple conditions	General cellular morphology	Reported effective electron microscopy studies with tissue up to 100 hours PMI, as long as the brain is primarily in cold storage with a temperature of 4-6°C. It seems they are suggesting that there is a PMI effect if the brain tissue is not cold storage, but this is not explicit.  	"We have managed to conduct very effective EM studies on tissues retrieved from donors with long post mortem intervals, up to 100 hours. In our experience a key element in tissue preservation for ultrastructure analysis is post mortem cold storage of the cadaver, with cold storage in a mortuary of around 4–6°C significantly reducing structural degradation."	Unclear
Kitamura 2005	https://pubmed.ncbi.nlm.nih.gov/16250084/	Human	Light microscopy	MAP2 immunostaining	11 h to 3 days (all less than 1 day in normothermic group)	72 hours	20	Hippocampus	Hypothermia. No "neurodegenerative disease, intracranial hemorrhage or brain injuries that would induce MAP2 disruption before their lethal event"	General neuronal immunostaining	PMI-associated decline in immunostaining of MAP2 in CA1-subiculum, with less rapid decline in immunostaining in CA2-4 and dentate gyrus, and less rapid/remarkable PMI-associated decline in immunostaining in brain donors who had hypothermia prior to death. 	"With lengthening postmortem intervals, loss of MAP2 immunoreactivity progressed in most of the CA1-subiculum neurons" ... "In the brains of a PMI of 11–16 h (cases H1–3), MAP2 immunoreactivity was preserved in the dendrites of a large number of the CA1-subiculum neurons (Figs. 1a and 2a), although cytoplasmic accumulation of MAP2 was more evident in the area adjacent to the stratum oriens than in other areas (Fig. 2a). Intensity and localization of MAP2 staining had altered less in brains with a PMI of 1.5 d (cases H4–5) (Fig. 2b) than in the normothermic group (Fig. 2c and d). In brains with a PMI of 2–3 d (cases H6–8), the CA1 neurons showed decreases in the number of immunopositive dendrites and intense cytoplasmic immunoreactivity, although the changes were less remarkable." ... "On the other hand, we observed that postmortem disruption of MAP2 progressed remarkably in the CA1-subiculum region of normothermic brains with increasing PMI, although there were less postmortem changes in MAP2 immunostaining in the CA2–4 regions and the dentate gyrus" ... "[H]ypothermia attenuated the progress of postmortem alterations in MAP2 immunoreactivity in the CA1-subiculum region where MAP2 disruption was more remarkable than other regions"	Yes
Kolomeets 2005	https://pubmed.ncbi.nlm.nih.gov/15858835/	Human	Electron microscopy	Staining with osmium tetroxide, uranyl acetate, and lead citrate	3 to 9 hours	9 hours	19	Hippocampus	Schizophrenia	Dendrite morphology	No significant correlation between dendritic spine morphology and PMI. 	"Multiple regression analysis did not reveal any significant interactions among the age or PMI and thenumber of spine heads, and postsynaptic spineheads, and Vv of spines per MFT."	No
Kolomeets 2007	https://pubmed.ncbi.nlm.nih.gov/17083920/	Human	Electron microscopy	Staining with osmium tetroxide, uranyl acetate, and lead citrate	Mean 5.96 ± 1.1 (control group), 6.6 ± 1.9 (schizophrenia group) 	Not recorded	18	Hippocampus	Schizophrenia 	Synapse density	No correlation of PMI with the number of synapse contacts detected on mossy fiber terminals. 	"Our research design did not indicate that the observed reduction of Nv synapses formed by MFTs was due to age or PMI. No significant relation between the parameters measured and age or PMI were found by correlation analysis"	No
Krause 2016	https://pubmed.ncbi.nlm.nih.gov/27136748/	Human	Electron microscopy	Morphological staining with osmium tetroxide, uranyl acetate, and phosphotungic acid	18 to 50 hours	50 hours	Not recorded	Anterior cingulate cortex	Not recorded	General cellular morphology	Myelin sheaths have network-like splittings. Other structures such as Von Economo Neurons, microtubules, neurofilaments, synapses, and vesicles were reported to be well-preserved. No reported worsening of ultrastructure with PMIs greater than 24 hours. 	"In human pathology, the post-mortem interval is a relevant factor for tissue preservation. It is known that degenerative alterations in the cytoplasm of glial cells and within the axoplasm can occur within 24 h at 4 °C, and especially mitochondria are known to be vulnerable to degeneration. The same degenerative effects already appear after 6 h at a storage temperature of 25 °C (Hukkanen and Röyttä, 1987). In our study, the tissue had a mean post-mortem interval of 31.89 ± 9.649 h and showed the typical ultra-structural alterations of network-like splitting of the inner part of the myelin sheath (Fig. 3A), as described by Hukkanen and Röyttä (1987). However, other structures such as microtubules, neurofilaments, synapses, vesicles and mitochondria were well preserved (Fig. 3B–D). In particular, entire neurons such as VENs, which are currently of most interest in investigations of psychiatric disorders, could be depicted clearly in a collage of merged micrographs (Fig. 3E)." ... "Summarising, in ultra-structural studies on human post-mortem tissue it is more important to use tissue with similar post-mortem intervals than similar storage times. Furthermore, it is possible to undertake ultra-structural investigations on specimens with high post-mortem intervals above 24 h."	Yes
Kreczmansk 2007	https://pubmed.ncbi.nlm.nih.gov/17303593/	Human	Light microscopy	Morphological stain, Nissl stain (gallocyanin) 	6 to 76 hours	76 hours	26	Multiple brain regions	Schizophrenia	Neuronal density	No assocation of PMI with neuronal density in any brain region, but there was a significant assocation with total putamen volume and total neuron neuron in the putamen with PMI. 	"The post-mortem interval had a significant effect on the volume of the putamen [F(1) ¼ 9.553, P ¼ 0.004] and the total neuron number in this brain region [F(1) ¼ 6.899; P ¼ 0.012] (see Fig. S1 in the Supplementary online material)." Also Table 3.	Yes
Kreczmanski 2005	https://pubmed.ncbi.nlm.nih.gov/15886994/	Human	Light microscopy	Immunostaining for collagen IV, which is present in the basal membranes of microvessels	6 to 88 hours (they note that the 88 hour brain was a case who died of suicide and was stored at 4°C) 	88 hours	26	Multiple brain regions	Schizophrenia 	Blood vessels	No significant effect of PMI on capillary length density. 	"[P]ostmortem interval, and fixation time had no significant effect on any of the investigated parameters."	No
